review_id,shop_id,user_id,score,content,review_time
r001,s01,u01,5,味道很好，服务态度热情，环境干净舒适，还会再来,2024-01-03
r002,s01,u02,4,菜品不错，上菜有点慢，总体满意,2024-01-05
r003,s02,u03,2,口味一般，服务很差，等了很久，不会再来,2024-01-06
r004,s02,u01,3,环境还可以，味道普通，性价比一般,2024-01-08
r005,s03,u04,5,火锅很鲜，牛肉新鲜，服务员推荐到位,2024-01-10
r006,s03,u05,4,分量足，味道好，就是周末人太多排队久,2024-01-12
r007,s01,u06,1,吃出异物，卫生堪忧，差评,2024-01-15
r008,s04,u07,5,甜品精致，咖啡香醇，适合聊天拍照,2024-01-18
r009,s04,u08,4,环境文艺，服务友好，价格稍贵,2024-01-20
r010,s02,u09,3,味道中规中矩，停车不方便,2024-01-22
r011,s05,u10,5,烧烤很香，蘸料丰富，朋友聚会首选,2024-02-01
r012,s05,u02,4,性价比高，服务周到，推荐烤羊肉,2024-02-03
r013,s03,u11,2,汤底太咸，空调太冷，体验一般,2024-02-05
r014,s01,u12,5,招牌菜很赞，服务员主动加水，好评,2024-02-08
r015,s04,u13,4,蛋糕新鲜，座位舒适，适合约会,2024-02-10
r016,s05,u14,3,味道还行，油烟有点重,2024-02-12
r017,s02,u15,4,新菜不错，服务有改善，会再来,2024-02-15
r018,s03,u16,5,食材新鲜，锅底香，整体体验优秀,2024-02-18
r019,s01,u17,2,排队太久，上菜慢，服务态度一般,2024-02-20
r020,s04,u18,5,氛围很好，甜点好吃，强烈推荐,2024-02-22
